hidden_units,epochs,metric,mean
5,10,gini,0.5982385879237195
5,10,rmse,2769.623553364572
5,10,tmr,0.26956236150636076
5,15,gini,0.5926561409212697
5,15,rmse,2767.1426801321063
5,15,tmr,0.2685857743872962
10,10,gini,0.5983117623885609
10,10,rmse,2771.125497228743
10,10,tmr,0.2666108730265814
10,15,gini,0.5955146648107322
10,15,rmse,2776.061795381622
10,15,tmr,0.2724662998922891
20,10,gini,0.5959985311724195
20,10,rmse,2766.5983373572826
20,10,tmr,0.27103352261907543
20,15,gini,0.5992461545545792
20,15,rmse,2767.928175450523
20,15,tmr,0.27298086784298475
